Nombre del Candidato,Departamento / Ciudad,Departamento,Profesión / Formación,Trayectoria y Perfil,Estatus de Candidatura,Partido Político
Martín Alonso Caicedo Carabalí,Cúcuta,Norte de Santander,Economista,Enfocado en el desarrollo sostenible con organizaciones comunitarias.,Candidato nuevo,Pacto Histórico
Deisy Johana Osorio Márquez,Riohacha,La Guajira,Profesional en ciencias sociales,Experiencia en gestión comunitaria y participación ciudadana.,Candidata nueva,Pacto Histórico
David Ricardo Racero Mayorca,Bogotá,Bogotá,Politólogo,Representante por Bogotá (2018-2026). Involucrado en escándalo por uso de personal de su UTL. Nació en 1978.,Viene de la Cámara,Pacto Histórico
"Deyci Alejandra Omaña Ortiz ""Amaranta Hank""",Cúcuta,Norte de Santander,Comunicadora,Ex actriz porno y activista sobre el trabajo sexual y autonomía corporal.,Candidata nueva,Pacto Histórico
Orlando Miguel De la Hoz García,Barranquilla,Atlántico,Administración,Experiencia en administración y proyectos sociales.,Candidato nuevo,Pacto Histórico
Mary Jurado Palomino,Popayán,Cauca,Profesional en ciencias sociales,Enfocada en temas de inclusión y equidad de género.,Candidata nueva,Pacto Histórico
María Eugenia Londoño Ocampo,Santa Rosa de Cabal,Risaralda,Not in source,Dirigente sindical de FECODE.,Candidata nueva,Pacto Histórico
Agmeth Jose Escaf Tijerino,Barranquilla,Atlántico,Not in source,"Representante a la Cámara (2022-2026), amigo de Nicolás Petro y exfigura de televisión.",Viene de la Cámara,Pacto Histórico
Andrés Eduardo Forero Molina,Bogotá,Bogotá,Economista,Exconcejal y Representante por Bogotá (2022-2026). Nació en 1985.,Viene de la Cámara,Centro Democrático
Rafael Nieto Loaiza,Barranquilla,Atlántico,Abogado,Exministro de Defensa (2002-2003) y exembajador en Francia. Nació en 1956.,Candidato nuevo,Centro Democrático
Claudia Margarita Zuleta Murgas,Cesar,Cesar,Optómetra y abogada,Diputada del Cesar e hija del cantante Poncho Zuleta.,Candidata nueva,Centro Democrático
Hernán Darío Cadavid Márquez,"Barbosa, Antioquia",Antioquia,Abogado,Director jurídico del Alto Comisionado para la Paz y Representante por Antioquia (2022-2026). Nació en 1986.,Viene de la Cámara,Centro Democrático
Julia Correa Nuttin,Medellín,Antioquia,Abogada,Columnista de Revista Semana y excandidata al Concejo de Medellín.,Candidata nueva,Centro Democrático
Carlos Manuel Meisel Vergara,Barranquilla,Atlántico,Politólogo,Exconcejal y Senador (2018-2026). Nació en 1985.,Repite candidatura,Centro Democrático
Christian Munir Garcés Aljure,Cali,Valle del Cauca,Administrador de empresas,Exdiputado y Representante por el Valle (2018-2026). Nació en 1976.,Viene de la Cámara,Centro Democrático
María Clara Posada Caicedo,Cali,Valle del Cauca,Abogada,Fue concejal de Cali y diputada del Valle. Nacida en 1986.,Candidata nueva,Centro Democrático
Honorio Miguel Henríquez Pinedo,Montería,Córdoba,Abogado,"Exsecretario departamental en Córdoba, Representante y actualmente Senador (2022-2026). Nació en 1966.",Repite candidatura (Senador actual),Centro Democrático
Josué Alirio Barrera Rodríguez,"Aguazul, Casanare",Casanare,Empresario y ganadero,Exgobernador de Casanare (2016-2019) y Senador (2022-2026).,Repite candidatura,Centro Democrático
Enrique Cabrales Baquero,"Mompox, Bolívar",Bolívar,Administrador de empresas,Fue Representante y luego Senador (2022-2026). Nació en 1986.,Repite candidatura,Centro Democrático
Óscar Leonardo Villamizar Meneses,Bucaramanga,Santander,Abogado,Representante por Santander (2018-2026). Nació en 1985.,Viene de la Cámara,Centro Democrático
Juan Fernando Espinal Ramírez,"Jericó, Antioquia",Antioquia,Abogado,Exconcejal de Medellín y Representante por Antioquia (2018-2026). Nació en 1982.,Viene de la Cámara,Centro Democrático
María Angélica Guerra López,"Corozal, Sucre",Sucre,Arquitecta,Reemplazó a Miguel Uribe Turbay como Senadora (2025-2026). Nació en 1986.,Repite candidatura,Centro Democrático
Juan Fernando Caicedo Callejas,Ibagué,Tolima,Politólogo,Coordinador político del partido y hombre de confianza de Álvaro Uribe.,Candidato nuevo,Centro Democrático
Zandra María Bernal Rincón,Magdalena y La Guajira,Magdalena y La Guajira,Administradora de empresas,Liderazgo comunitario en Magdalena y La Guajira.,Candidata nueva,Centro Democrático
Esteban Quintero Cardona,"Rionegro, Antioquia",Antioquia,Not in source,Exdiputado de Antioquia y Senador (2022-2026). Nacido en 1986.,Repite candidatura,Centro Democrático
Lidio Arturo García Turbay,Carmen de Bolívar,Bolívar,Comunicador social,"Exdiputado, ex Representante y actual Senador (2022-2026). Nació en 1971.",Repite candidatura (Senador actual),Liberal
Yessid Enrique Pulgar Daza,Barranquilla,Atlántico,Abogado,Diputado del Atlántico con alta votación (146 mil votos).,Candidato nuevo,Liberal
María Eugenia Lopera Monsalve,"Entrerríos, Antioquia",Antioquia,Ingeniera sanitaria,Representante por Antioquia (2022-2026). Nacida en 1978.,Viene de la Cámara,Liberal
Alix Yirley Vargas Torrado,Cúcuta,Norte de Santander,Abogada,"Gestora social y esposa del alcalde de Cúcuta, Jorge Acevedo.",Candidata nueva,Liberal
Leonardo de Jesús Gallego Arroyave,Cali,Valle del Cauca,Abogado,Exconcejal y Representante por el Valle (2018-2026). Nació en 1976.,Viene de la Cámara,Liberal
Óscar Hernán Sánchez León,"Facatativá, Cundinamarca",Cundinamarca,Abogado,Exalcalde de Facatativá y Representante por Cundinamarca (2014-2026). Nació en 1970.,Viene de la Cámara,Liberal
Héctor Olimpo Espinosa Oliver,"Sincé, Sucre",Sucre,Abogado,Exviceministro del Interior y exgobernador de Sucre (2020-2023). Nació en 1981.,Candidato nuevo,Liberal
Fabio Raúl Amín Saleme,"Lorica, Córdoba",Córdoba,Economista,Ex Representante y actual Senador (2022-2026). Nació en 1976.,Repite candidatura,Liberal
Santiago Montoya Montoya,"Sabaneta, Antioquia",Antioquia,Abogado,Alcalde de Sabaneta (2020-2023). Nació en 1983.,Candidato nuevo,Liberal
Álvaro Henry Monedero Rivera,Cali,Valle del Cauca,Administrador de empresas,Representante por el Valle (2022-2026). Nació en 1976.,Viene de la Cámara,Liberal
Laura Ester Fortich Sánchez,Cartagena,Bolívar,Administradora de empresas,Senadora (2018-2026). Nació en 1986.,Repite candidatura,Liberal
"Gersson Vargas Valdeleón ""Señor Biter""",Bogotá D.C.,Bogotá D.C.,Not in source,Creador de contenido digital y activista sobre derechos de los conductores.,Candidato nuevo,Liberal
Camilo Andrés Torres Villalba,Atlántico,Atlántico,Not in source,"Diputado del Atlántico, hermano de Euclides Torres y Martha Villalba.",Candidato nuevo,Liberal
Luis Carlos Rúa Sánchez,Pereira,Risaralda,Ingeniero industrial,"Creador del personaje ""Elefante Blanco"" enfocado en denunciar corrupción. Nació en 1992.",Candidato nuevo,Alianza Verde
Andrea Padilla Villarraga,Bogotá,Bogotá,Psicóloga,"Animalista, exconcejal y Senadora (2022-2026). Nacida en 1978.",Repite candidatura,Alianza Verde
John Edickson Amaya Rodríguez,Boyacá,Boyacá,Ingeniero electrónico,Hermano del gobernador Carlos Amaya. Fue Secretario TIC de Boyacá.,Candidato nuevo,Alianza Verde
Ariel Fernando Ávila Martínez,"San Bernardo, Cundinamarca",Cundinamarca,Politólogo,"Analista de seguridad y anticorrupción, y Senador (2022-2026). Nació en 1983.",Repite candidatura,Alianza Verde
Gustavo Adolfo Moreno Hurtado,Barrancabermeja,Santander,Politólogo,Senador (2022-2026). Nació en 1990.,Repite candidatura,Alianza Verde
José Gutemberg Macea Gómez,Córdoba,Córdoba,Abogado,Presencia política en el departamento de Córdoba.,Candidato nuevo,Alianza Verde
Duvalier Sánchez Arango,Cali,Valle del Cauca,Abogado,"Exconcejal, exdiputado y Representante a la Cámara por el Valle (2022-2026). Nació en 1975.",Viene de la Cámara,Alianza Verde
Carlos Eduardo Enríquez Caicedo,Pasto,Nariño,Profesional en Gobierno,Ex cónsul en Boston y Viceministro de Transporte (2022-2025).,Candidato nuevo,Alianza Verde
"Jonathan Ferney Pulido Hernández ""JP Hernández""",Bucaramanga,Santander,Not in source,Creador de contenido político en redes sociales y Senador (2022-2026). Nació en 1992.,Repite candidatura,Alianza Verde
Wilder Iberson Escobar Ortiz,Caldas,Caldas,Not in source,Representante por Caldas (2022-2026) con 67 mil votos.,Viene de la Cámara,Alianza Verde
Luis Alfonso Mejía Núñez,Norte de Santander,Norte de Santander,Not in source,Concejal y diputado por Norte de Santander.,Candidato nuevo,Alianza Verde
Nadya Georgette Blel Scaff,Cartagena,Bolívar,Abogada,Senadora (2014-2026). Nacida en 1981.,Repite candidatura,Conservador
Wadith Alberto Manzur Imbett,Córdoba,Córdoba,Ingeniero industrial,Representante por Córdoba (2018-2026).,Viene de la Cámara,Conservador
Daniel Restrepo Carmona,Medellín,Antioquia,Administrador de empresas,Representante por Antioquia (2022-2026). Nació en 1985.,Viene de la Cámara,Conservador
David Alejandro Barguil Assis,"Cereté, Córdoba",Córdoba,Profesional en finanzas,"Exsenador, expresidente del partido y precandidato presidencial en 2022. Nació en 1981.",Candidato nuevo,Conservador
Miguel Ángel Barreto Castillo,Tolima,Tolima,Contador público,Fue Representante por Tolima y es Senador (2022-2026).,Repite candidatura,Conservador
Diela Liliana Benavides Solarte,"Guaitarilla, Nariño",Nariño,Médica,Exalcaldesa de Guaitarilla y Senadora (2022-2026). Nacida en 1973.,Repite candidatura,Conservador
Marcos Daniel Pineda García,Montería,Córdoba,Administrador de empresas,Dos veces alcalde de Montería y Senador (2022-2026). Nacido en 1977.,Repite candidatura,Conservador
Luis Eduardo Díaz Mateus,"La Paz, Santander",Santander,Abogado,Exdiputado de Santander y Representante (2022-2026). Nació en 1965.,Viene de la Cámara,Conservador
Juan Carlos García Gómez,Cúcuta,Norte de Santander,Abogado,"Parte del ""Clan Rodríguez García"" en la región. Senador (2022-2026). Nació en 1979.",Repite candidatura (Senador actual),Conservador
Santiago Barreto Triana,Tolima,Tolima,Administrador de empresas,Sobrino del senador Oscar Barreto y ex Secretario General de la Gobernación de Tolima.,Candidato nuevo,Conservador
Johnnatan Alexis Tamayo Usuga,Valle del Cauca,Valle del Cauca,Economista,Director de proyectos y gestor social en programas comunitarios del Valle del Cauca.,Candidato nuevo,Conservador
Norma Hurtado Sánchez,Buga,Valle del Cauca,Abogada,Exconcejal y Senadora (2022-2026). Nació en 1969.,Repite candidatura,De la U
Juan Carlos Garcés Rojas,Cali,Valle del Cauca,Profesional en Mercadeo,Exdiputado y Senador (2022-2026). Nació en 1977.,Repite candidatura,De la U
Wilmer Ramiro Carrillo Mendoza,"Arboledas, Norte de Santander",Norte de Santander,Arquitecto,Exgobernador encargado y Representante por Norte de Santander (2014-2026). Nació en 1973.,Viene de la Cámara,De la U
Alfredo Rafael Deluque Zuleta,Riohacha,La Guajira,Abogado,Fue Representante y actualmente es Senador (2022-2026). Nació en 1977.,Repite candidatura,De la U
John Moisés Besaile Fayad,"Sahagún, Córdoba",Córdoba,Administrador de empresas,Exalcalde de Sahagún y Senador (2018-2026).,Repite candidatura,De la U
Ana Paola García Soto,"Planeta Rica, Córdoba",Córdoba,Abogada,Representante por Córdoba (2022-2026). Nacida en 1982.,Viene de la Cámara,De la U
María Irma Noreña Arboleda,Pereira,Risaralda,Contadora pública,Vinculada a Empresa Aguas y Aseo de Risaralda; esposa del alcalde de Pereira.,Candidata nueva,De la U
Antonio José Correa Jiménez,Cartagena,Bolívar,Médico,Experiencia en el sector salud público y Senador (2022-2026). Nació en 1975.,Repite candidatura,De la U
José Alfredo Gnecco Zuleta,Valledupar,Cesar,Administrador de empresas,"Senador en dos periodos, actualmente 2022-2026. Nació en 1976.",Repite candidatura,De la U
Edgardo Miguel Espitia Cabrales,"Montería, Córdoba",Córdoba,Abogado,Exconcejal y primer Gerente de Ciudad de Montería.,Candidato nuevo,Cambio Radical
Didier Lobo Chinchilla,"Becerril, Cesar",Cesar,Administrador de empresas,Exalcalde y Senador (2018-2026). Nació en 1971.,Repite candidatura,Cambio Radical
Carlos Mario Farelo Daza,"Ariguaní, Magdalena",Magdalena,Administrador de empresas,Ex Representante y actual Senador (2022-2026).,Repite candidatura,Cambio Radical
José Nicolás Gómez Medina,"Gachancipá, Cundinamarca",Cundinamarca,Not in source,Exalcalde de Gachancipá (2012-2015) y diputado de Cundinamarca en 2024.,Candidato nuevo,Cambio Radical
Selmen David Arana Cano,"Magangué, Bolívar",Bolívar,Not in source,Concejal del municipio de Magangué.,Candidato nuevo,Cambio Radical
Gonzalo Dimas Baute González,Cesar,Cesar,Not in source,Candidato con presencia política en el departamento del Cesar.,Candidato nuevo,Cambio Radical
Nelson Javier López Rodríguez,Magdalena Medio,Magdalena Medio,Not in source,Influencia política en territorios como Barrancabermeja.,Candidato nuevo,Cambio Radical
Ana Paola Agudelo García,Bogotá,Bogotá,Comunicadora social,Dirigente del partido cristiano MIRA y Senadora (2018-2026). Nacida en 1983.,Repite candidatura,Ahora Colombia - MIRA
Manuel Antonio Virgüez Piraquive,Bogotá,Bogotá,Ingeniero industrial,Senador por el MIRA (2006-2014 y 2022-2026). Nacido en 1963.,Repite candidatura,Ahora Colombia - MIRA
Carlos Eduardo Guevara Villabon,Bogotá,Bogotá,Ingeniero industrial,Exconcejal de Bogotá y Senador (2018-2026) por el partido MIRA. Nació en 1977.,Repite candidatura,Ahora Colombia - MIRA
Jennifer Dalley Pedraza Sandoval,Bogotá,Bogotá,Politóloga,Activista feminista y Representante por Bogotá (2022-2026). Nacida en 1995.,Viene de la Cámara,Ahora Colombia - Dignidad y Compromiso
María Lucia Villalba Gómez,Bogotá,Bogotá,Economista,Ex cónsul en Nueva York y ex Jefe de Gabinete en la Alcaldía de Bogotá.,Candidata nueva,Ahora Colombia - Nuevo Liberalismo
Enrique Gómez Martínez,Bogotá,Bogotá,Abogado,Director del movimiento Salvación Nacional y sobrino de Álvaro Gómez Hurtado. Nació en 1968.,Candidato nuevo,Salvación Nacional
Sara Jimena Castellanos Rodríguez,Bogotá D.C.,Bogotá D.C.,Abogada,"Vinculada a comunidades cristianas, hija de los fundadores de la Misión Carismática Internacional.",Candidata nueva,Salvación Nacional
"German Andrés Rodríguez Prieto ""El Comandante de la Verdad""",Bogotá D.C.,Bogotá D.C.,Oficial de Infantería de Marina en retiro,Creador de contenido apoyado por sectores de reserva de las FF.AA.,Candidato nuevo,Salvación Nacional
Jhon Alejandro Bermeo Rodríguez,Cali,Valle del Cauca,Abogado,Influencer y activista digital.,Candidato nuevo,Salvación Nacional
Martha Isabel Peralta Epieyú,"Uribia, La Guajira",La Guajira,Abogada,Líder del pueblo indígena Wayuu y Senadora (2022-2026). Nacida en 1982.,Repite candidatura,MAIS
Jesús Omero Cuasapud,"Potosí, Nariño",Nariño,Dirigente indígena (Taita),Originario del Resguardo Indígena de Mueses.,Candidato nuevo,AICO
Jose Wilman Tumbo Chepe,Cauca,Cauca,Not in source,Dirigente indígena del pueblo Nasa y líder social del Cauca en el marco de la Minga.,Candidato nuevo,Minga por Colombia
